id,date,invoice_number,state,customer_company_id,id,name,city,country,finance_number,sales_order_id
2437,2019-01-09,14225,complete,106,106,Gamekit S.A.,Warsa,PL,,
2438,2019-01-09,14313,complete,100,100,GAME PLATFORMA s.r.o,SVIDNÍK,SK,,
2439,2019-01-09,14318,complete,22,22,OffGamers Global Pte Ltd (USD),Singapore,SG,,
2440,2019-01-09,14315,complete,22,22,OffGamers Global Pte Ltd (USD),Singapore,SG,,
2441,2019-01-09,14349,complete,111,111,Fullcodigos Limitada,Racagua,CD,,
2442,2019-01-09,14367,complete,28,28,Onequark SPA,Santiago,CL,,
2443,2019-01-09,14363,complete,33,33,BNB CARD CO. LTD,BANGKOK,TH,,
2444,2019-01-09,14366,complete,64,64,Florida State Games,Coconut Creek,US,,
2445,2019-01-09,14375,complete,73,73,"IGROSHOP, LLC",Oberlin,US,,
2446,2019-01-09,14377,complete,53,53,FJENTERPRISE,Santa Cruz,BO,,
2447,2019-01-09,T.O # 406,complete,86,86,SCRATCH MONKEYS (USD),,US,,
2448,2019-01-09,14110,deleted,6,6,Sea Gamer Mall Sdn Bhd,Sitiawan,MY,,
2449,2019-01-10,14293,complete,103,103,Gamecardsdirect B.V.,Heerlen,NL,,
2450,2019-01-10,14346,complete,61,61,Cal Micro,Santa Clara,US,,
2451,2019-01-10,14320,complete,54,54,GUDANG VOUCHER,Kebayoran Lama,ID,,
2452,2019-01-10,14386,complete,62,62,PSNTHAILAND,Bangbon,TH,,
2453,2019-01-10,14387,complete,48,48,PT.SARANA CIPTA KREASI CEMERLANG,Jakarta Pusat,ID,,
2454,2019-01-10,14388,complete,16,16,PayThem.Net WLL,Doha,QA,,
2455,2019-01-10,14389,complete,20,20,MyGiftCardSupply,Boulder,US,,
2456,2019-01-08,14316,complete,22,22,OffGamers Global Pte Ltd (USD),Singapore,SG,,
2457,2019-01-10,14391,complete,7,7,PLAY-ASIA.COM (USD),Lai Chi Kok,HK,,
2458,2019-01-09,14383,complete,65,65,DIGITAL CODES S.p. Z.o.o (USD.),,PL,,
2459,2019-01-10,14393,complete,53,53,FJENTERPRISE,Santa Cruz,BO,,
2460,2019-01-10,14395,complete,18,18,Skincell,Santa Cruz,BO,,
2461,2019-01-10,14396,complete,23,23,ABAAD ALJEEL DBA LIKE4CARD,Rihadh,SA,,
2462,2019-01-10,14390,complete,111,111,Fullcodigos Limitada,Racagua,CD,,
2463,2019-01-10,14394,complete,40,40,Nguyen & Phan LLC DBA BUY FROM POWER SELLER,Lorton,US,,
2464,2019-01-10,14397,complete,55,55,MICROSIS SRL,Ciudad Autonoma,AR,,
2465,2019-01-10,13911-RR,complete,23,23,ABAAD ALJEEL DBA LIKE4CARD,Rihadh,SA,,
2466,2019-01-10,14013-RR,complete,23,23,ABAAD ALJEEL DBA LIKE4CARD,Rihadh,SA,,
2467,2019-01-10,14110-RR,complete,6,6,Sea Gamer Mall Sdn Bhd,Sitiawan,MY,,
2468,2019-01-10,14401,complete,53,53,FJENTERPRISE,Santa Cruz,BO,,
2469,2019-01-11,T.O # 408,complete,86,86,SCRATCH MONKEYS (USD),,US,,
2470,2019-01-11,14398,complete,49,49,BANANA INTERNATIONAL LTD,DUBAI,UAE,,
2471,2019-01-11,14405,complete,28,28,Onequark SPA,Santiago,CL,,
2472,2019-01-09,14365,complete,98,98,Skill Cat Limited,HONG KONG,HK,,
2473,2019-01-11,14407,complete,82,82,R & R Exclusive inc BDA Red Dot,Glendale,US,,
2474,2019-01-11,14408,complete,111,111,Fullcodigos Limitada,Racagua,CD,,
2475,2019-01-10,14402,complete,34,34,CEDAR PARK SALES LLC,CEDAR PARK,US,,
2476,2019-01-11,14406,complete,7,7,PLAY-ASIA.COM (USD),Lai Chi Kok,HK,,
2477,2019-01-11,14409,complete,7,7,PLAY-ASIA.COM (USD),Lai Chi Kok,HK,,
2478,2019-01-11,14404,complete,12,12,VERVE MULTIMEDIA INC,Pasay City,PH,,
2479,2019-01-11,14411,complete,37,37,IGC SOLUTIONS LLC.,Port Washington,US,,
2480,2019-01-11,14414,complete,64,64,Florida State Games,Coconut Creek,US,,
2481,2019-01-10,14392,complete,22,22,OffGamers Global Pte Ltd (USD),Singapore,SG,,
2482,2019-01-14,14420,complete,82,82,R & R Exclusive inc BDA Red Dot,Glendale,US,,
2483,2019-01-14,14415,complete,16,16,PayThem.Net WLL,Doha,QA,,
2484,2019-01-14,14417,complete,35,35,"SOLA FIDE, INC. dba. MAXIMUSCARDS",TAMPA,US,,
2485,2019-01-14,14416,complete,9,9,G4Y GAMES LLC,New Rochelle,US,,
2486,2019-01-14,14426,complete,23,23,ABAAD ALJEEL DBA LIKE4CARD,Rihadh,SA,,
2487,2019-01-14,14425,complete,7,7,PLAY-ASIA.COM (USD),Lai Chi Kok,HK,,
2488,2019-01-14,14427,complete,37,37,IGC SOLUTIONS LLC.,Port Washington,US,,
2489,2019-01-14,14428,complete,107,107,Global Deal d.o.o,Makarska,HR,,
2490,2019-01-14,14421,complete,120,120,TRIA FZE,DUBAI,AE,,
2491,2019-01-14,14436,complete,114,114,EZ PAY CARDS FZ LLC,Ras AlKhaimah,AE,,
2492,2019-01-14,14437,complete,20,20,MyGiftCardSupply,Boulder,US,,
2493,2019-01-14,14438,complete,65,65,DIGITAL CODES S.p. Z.o.o (USD.),,PL,,
2494,2019-01-14,14439,complete,18,18,Skincell,Santa Cruz,BO,,
2495,2019-01-14,T.O 409,complete,86,86,SCRATCH MONKEYS (USD),,US,,
2496,2019-01-14,13911-RR,complete,23,23,ABAAD ALJEEL DBA LIKE4CARD,Rihadh,SA,,
2497,2019-01-14,14013-RR,complete,23,23,ABAAD ALJEEL DBA LIKE4CARD,Rihadh,SA,,
2498,2019-01-14,14336-RR,complete,23,23,ABAAD ALJEEL DBA LIKE4CARD,Rihadh,SA,,
2499,2019-01-14,14312-RR,complete,6,6,Sea Gamer Mall Sdn Bhd,Sitiawan,MY,,
2500,2019-01-15,14443,complete,21,21,JERRY CARDS,SICHUAN PROVINCE,CN,,
2501,2019-01-15,14444,complete,73,73,"IGROSHOP, LLC",Oberlin,US,,
2502,2019-01-15,14445,complete,114,114,EZ PAY CARDS FZ LLC,Ras AlKhaimah,AE,,
2503,2019-01-15,14446,complete,16,16,PayThem.Net WLL,Doha,QA,,
2504,2019-01-15,14447,complete,14,14,IBANEZBLACK,Lombok Barat,ID,,
2505,2019-01-15,14448,complete,111,111,Fullcodigos Limitada,Racagua,CD,,
2506,2019-01-15,14449,complete,18,18,Skincell,Santa Cruz,BO,,
2507,2019-01-15,14451,complete,55,55,MICROSIS SRL,Ciudad Autonoma,AR,,
2508,2019-01-15,14452,back_order,6,6,Sea Gamer Mall Sdn Bhd,Sitiawan,MY,,
2509,2019-01-15,14460,complete,22,22,OffGamers Global Pte Ltd (USD),Singapore,SG,,
2510,2019-01-15,14457,complete,22,22,OffGamers Global Pte Ltd (USD),Singapore,SG,,
2511,2019-01-15,14455,complete,22,22,OffGamers Global Pte Ltd (USD),Singapore,SG,,
2512,2019-01-15,14453,complete,65,65,DIGITAL CODES S.p. Z.o.o (USD.),,PL,,
2513,2019-01-14,14433,complete,100,100,GAME PLATFORMA s.r.o,SVIDNÍK,SK,,
2514,2019-01-15,14462,complete,64,64,Florida State Games,Coconut Creek,US,,
2515,2019-01-15,14110-RR,complete,6,6,Sea Gamer Mall Sdn Bhd,Sitiawan,MY,,
2516,2019-01-16,14419,complete,15,15,MMOGA LIMITED,Kowloon,HK,,
2517,2019-01-16,14471,complete,90,90,PANAMA GAMES,Miami,US,,
2518,2019-01-16,14468,complete,62,62,PSNTHAILAND,Bangbon,TH,,
2519,2019-01-15,14459,complete,22,22,OffGamers Global Pte Ltd (USD),Singapore,SG,,
2520,2019-01-15,14456,complete,22,22,OffGamers Global Pte Ltd (USD),Singapore,SG,,
2521,2019-01-16,14467,complete,29,29,KorsIT,Eindhoven,NL,,
2522,2019-01-16,14466,complete,40,40,Nguyen & Phan LLC DBA BUY FROM POWER SELLER,Lorton,US,,
2523,2019-01-16,14472,complete,7,7,PLAY-ASIA.COM (USD),Lai Chi Kok,HK,,
2524,2019-01-16,14473,complete,34,34,CEDAR PARK SALES LLC,CEDAR PARK,US,,
2525,2019-01-16,14476,complete,55,55,MICROSIS SRL,Ciudad Autonoma,AR,,
2526,2019-01-16,T.O # 411,complete,86,86,SCRATCH MONKEYS (USD),,US,,
2527,2019-01-16,14109,complete,23,23,ABAAD ALJEEL DBA LIKE4CARD,Rihadh,SA,,
2528,2019-01-17,14474,complete,12,12,VERVE MULTIMEDIA INC,Pasay City,PH,,
2529,2019-01-17,14470,complete,122,122,NYC GAMES ELECTRONICS LLC,,,,
2530,2019-01-17,14486,complete,16,16,PayThem.Net WLL,Doha,QA,,
2531,2019-01-17,14480,complete,48,48,PT.SARANA CIPTA KREASI CEMERLANG,Jakarta Pusat,ID,,
2532,2019-01-17,14482,complete,23,23,ABAAD ALJEEL DBA LIKE4CARD,Rihadh,SA,,
2533,2019-01-17,14483,complete,82,82,R & R Exclusive inc BDA Red Dot,Glendale,US,,
2534,2019-01-17,14418,complete,103,103,Gamecardsdirect B.V.,Heerlen,NL,,
2535,2019-01-17,14412,complete,41,41,MOL AccessPortal Sdn Bhd,Kuala Lumpur,MY,,
2536,2019-01-17,14410,complete,106,106,Gamekit S.A.,Warsa,PL,,
2537,2019-01-15,14458,complete,22,22,OffGamers Global Pte Ltd (USD),Singapore,SG,,
2538,2019-01-15,14454,complete,22,22,OffGamers Global Pte Ltd (USD),Singapore,SG,,
2539,2019-01-17,14484,complete,7,7,PLAY-ASIA.COM (USD),Lai Chi Kok,HK,,
2540,2019-01-17,14485,complete,107,107,Global Deal d.o.o,Makarska,HR,,
2541,2019-01-17,14487,complete,120,120,TRIA FZE,DUBAI,AE,,
2542,2019-01-17,14488,complete,120,120,TRIA FZE,DUBAI,AE,,
2543,2019-01-17,14490,complete,111,111,Fullcodigos Limitada,Racagua,CD,,
2544,2019-01-17,14491,complete,111,111,Fullcodigos Limitada,Racagua,CD,,
2545,2019-01-17,12853-RR,complete,6,6,Sea Gamer Mall Sdn Bhd,Sitiawan,MY,,
2546,2019-01-17,14312-RR,complete,6,6,Sea Gamer Mall Sdn Bhd,Sitiawan,MY,,
2547,2019-01-18,14497,complete,7,7,PLAY-ASIA.COM (USD),Lai Chi Kok,HK,,
2548,2019-01-18,14495,complete,75,75,Leo Partners DBA Odessa Seagull,Nicosia,CY,,
2549,2019-01-18,14496,complete,20,20,MyGiftCardSupply,Boulder,US,,
2550,2019-01-18,14499,complete,28,28,Onequark SPA,Santiago,CL,,
2551,2019-01-18,14481,complete,8,8,"Gamersmarket CO., LTD",Causeway Bay,HK,,
2552,2019-01-18,14461,complete,120,120,TRIA FZE,DUBAI,AE,,
2553,2019-01-18,14498,complete,7,7,PLAY-ASIA.COM (USD),Lai Chi Kok,HK,,
2554,2019-01-18,14494,complete,93,93,TAWATCHAI SHOP,Bangkok,TH,,
2555,2019-01-18,14502,deleted,53,53,FJENTERPRISE,Santa Cruz,BO,,
2556,2019-01-18,14502,complete,53,53,FJENTERPRISE,Santa Cruz,BO,,
2557,2019-01-18,14503,complete,73,73,"IGROSHOP, LLC",Oberlin,US,,
2558,2019-01-18,T.O # 413,complete,86,86,SCRATCH MONKEYS (USD),,US,,
2559,2019-01-18,14450,complete,120,120,TRIA FZE,DUBAI,AE,,
2560,2019-01-18,14489,complete,120,120,TRIA FZE,DUBAI,AE,,
2561,2019-01-18,14013-RR,complete,23,23,ABAAD ALJEEL DBA LIKE4CARD,Rihadh,SA,,
2562,2019-01-21,14504,deleted,16,16,PayThem.Net WLL,Doha,QA,,
2563,2019-01-21,14504,complete,16,16,PayThem.Net WLL,Doha,QA,,
2564,2019-01-21,14505,complete,23,23,ABAAD ALJEEL DBA LIKE4CARD,Rihadh,SA,,
2565,2019-01-21,14506,back_order,34,34,CEDAR PARK SALES LLC,CEDAR PARK,US,,
2566,2019-01-21,14514,complete,61,61,Cal Micro,Santa Clara,US,,
2567,2019-01-21,14507,complete,120,120,TRIA FZE,DUBAI,AE,,
2568,2019-01-21,14508,complete,7,7,PLAY-ASIA.COM (USD),Lai Chi Kok,HK,,
2569,2019-01-21,14517,complete,18,18,Skincell,Santa Cruz,BO,,
2570,2019-01-21,T.O # 414,complete,86,86,SCRATCH MONKEYS (USD),,US,,
2571,2019-01-21,14518,complete,20,20,MyGiftCardSupply,Boulder,US,,
2572,2019-01-21,14519,complete,55,55,MICROSIS SRL,Ciudad Autonoma,AR,,
2573,2019-01-21,14520,complete,13,13,Brandizer (Future Technology Solutions),Amman,JO,,
2574,2019-01-22,14536,complete,9,9,G4Y GAMES LLC,New Rochelle,US,,
2575,2019-01-22,14535,complete,111,111,Fullcodigos Limitada,Racagua,CD,,
2576,2019-01-22,14525,complete,7,7,PLAY-ASIA.COM (USD),Lai Chi Kok,HK,,
2577,2019-01-22,14534,complete,14,14,IBANEZBLACK,Lombok Barat,ID,,
2578,2019-01-22,14528,complete,22,22,OffGamers Global Pte Ltd (USD),Singapore,SG,,
2579,2019-01-22,14531,complete,22,22,OffGamers Global Pte Ltd (USD),Singapore,SG,,
2580,2019-01-22,14527,complete,62,62,PSNTHAILAND,Bangbon,TH,,
2581,2019-01-22,14523,complete,18,18,Skincell,Santa Cruz,BO,,
2582,2019-01-22,14533,complete,22,22,OffGamers Global Pte Ltd (USD),Singapore,SG,,
2583,2019-01-22,14442,complete,30,30,Play Coin Pte Ltd,,SG,,
2584,2019-01-21,14509,complete,100,100,GAME PLATFORMA s.r.o,SVIDNÍK,SK,,
2585,2019-01-22,T.O # 415,complete,86,86,SCRATCH MONKEYS (USD),,US,,
